timestamp,event,category,result,source_file
2026-06-13 18:05:00,Config backup: config.yaml.before_text_switch_20260613_180500,config,RECORDED,evidence/config_backups/config.yaml.before_text_switch_20260613_180500
2026-06-13 18:06:49,Startup: start_qwen_20260613_180649.log,startup,RECORDED,evidence/startup_logs/start_qwen_20260613_180649.log
2026-06-13 18:10:56,Config backup: config.yaml.before_text_switch_20260613_181056,config,RECORDED,evidence/config_backups/config.yaml.before_text_switch_20260613_181056
2026-06-13 18:25:34,Startup: start_qwen_20260613_182534.log,startup,RECORDED,evidence/startup_logs/start_qwen_20260613_182534.log
2026-06-13 18:27:24,Config backup: config.yaml.before_text_switch_20260613_182724,config,RECORDED,evidence/config_backups/config.yaml.before_text_switch_20260613_182724
2026-06-13 18:33:38,Config backup: config.yaml.before_text_switch_20260613_183338,config,RECORDED,evidence/config_backups/config.yaml.before_text_switch_20260613_183338
2026-06-13 18:36:50,Startup: start_qwen_20260613_183650.log,startup,RECORDED,evidence/startup_logs/start_qwen_20260613_183650.log
2026-06-13 18:40:16,Startup: start_qwen_20260613_184016.log,startup,RECORDED,evidence/startup_logs/start_qwen_20260613_184016.log
2026-06-13 18:47:00,Startup: start_qwen_20260613_184700.log,startup,RECORDED,evidence/startup_logs/start_qwen_20260613_184700.log
2026-06-13 18:53:23,Startup: start_qwen_20260613_185323.log,startup,RECORDED,evidence/startup_logs/start_qwen_20260613_185323.log
2026-06-13 19:02:36,Startup: start_qwen_20260613_190236.log,startup,RECORDED,evidence/startup_logs/start_qwen_20260613_190236.log
2026-06-13 19:07:15,Startup: start_qwen_20260613_190715.log,startup,RECORDED,evidence/startup_logs/start_qwen_20260613_190715.log
2026-06-14 09:37:51,Config backup: qwen36-current-cmd-20260614_093751.json,config,START,evidence/config_backups/qwen36-current-cmd-20260614_093751.json
2026-06-14 09:37:51,Config backup: qwen36-current-full-inspect-20260614_093751.json,config,VERIFIED_BASELINE,evidence/config_backups/qwen36-current-full-inspect-20260614_093751.json
